,id,k6_cluster,k10_cluster
219,2dDGwvUJFRNRgB6p4AQV50,0,2
220,19cVww3dRYFzVvslJu2NtL,4,7
221,6GG2tkV9PRYGN5rniXPFXZ,2,6
222,77dBKEJtA1KqAmAE6cn4zM,2,9
223,7isbPMomU1kbgaNKOFocGJ,2,6
224,4ckuS4Nj4FZ7i3Def3Br8W,0,6
225,0NTLc38M2fPfeA9nFnI8HJ,0,5
226,7Kqd2BlcjYzDjzYjrXXR3x,2,2
227,2x4myYXKCCJilThhh99Toq,4,7
228,7cNhrHKHu6nKTG3hAXI5gz,4,2
229,4jep6dMPP0z7HrN375InoL,3,4
230,0H0vPgfSGvt3g4X4Fnmr2N,5,0
231,1DiJsj5a4zBzWSUWdg2nTv,0,5
232,0R12GQVU6fmV9ibEvQyxyX,4,7
233,4culHtQRLg5h9ZuLayEQJZ,0,6
234,5mSJgLW43dmFEMK50ECr0S,2,2
235,3gY3fTkff4VmZ2XfvU6N4l,2,9
236,3IRloeDfPgi7bH5OwXfwkN,0,5
237,0TW3dlG3BaF2LNiDkUu10u,4,7
238,3waIbY3hXhTdlsOOffGgZw,4,7
239,2gbVPiWjuoZQncypktAwvK,5,6
240,22q7Tnt618vJpdhy67dtqV,0,5
241,67nH6uwF7F3C7PsZTUNHNH,0,5
242,7kUuvMv4yD9wcaBfX4AfMq,2,9
243,1WHo9vIO4O50xQHSycSNUm,2,6
244,6v6CUE4xyNK9OCodInFPro,0,5
245,39pS70eeDvyCAF3t8NAlVV,0,5
246,6ovZF5JLjcgm1J8exA3XrE,4,7
247,2cdbFYFzeCUL8Tx9yyc1nH,0,5
248,6f9McoXNKUTjh9PtmCAvMP,0,5
249,7zdNke86NJfiZnDiW1Y3XZ,2,6
250,3m62bJJXGyQKdR9XyRocnl,2,6
251,59e7E2LMPZ2bhW5G6aCwX8,0,5
252,73ZaCmh5nzvBzbhREnQvcB,0,5
253,4ISLRAqJbSgvkqRgiCaikS,4,7
254,0SGkqnVQo9KPytSri1H6cF,4,7
255,2igbKtoBMXdYgYPkCpl0V4,4,7
256,0j2T0R9dR9qdJYsB7ciXhf,4,7
257,3oy9CClx1zCGnhzse9AvDu,4,7
258,67T0J1IDGgRwNMp3vWYaVb,4,7
259,6bcnokzOVQxpn0quzHj6vc,4,7
260,2aQwdBWk4vSPWk1Csgtzdo,4,7
261,737gwrDNwTCAwAjy02FSMO,2,6
262,5viCJ7GSQxVWUAPBVoV7IL,4,7
263,3DaXXVRXK7sWRNEugMe7s6,2,9
264,6a90nkg7j6GRmq6LirQixa,0,5
265,1T5mVPJE6LilJ7f73L3UDo,4,7
266,5BSz8sJO2YmKfNVQG7fq2J,0,5
267,2oUuLLKS8WbF7ELJcwbqms,0,5
268,3iL2l5gUqyPS6vDwJFgJTR,0,5
269,2EzdHA4loLJLi2ofpLeLDb,2,9
270,22VdIZQfgXJea34mQxlt81,4,7
271,2kvgmr5CFhSvleQqTjB3eP,4,7
272,0jx8zY5JQsS4YEQcfkoc5C,0,5
273,76FZM38RC8XaAjJ77CVTNe,2,6
274,0xexXKZ1CAIrNHhTUX5Qkh,4,7
275,6BbINUfGabVyiNFJpQXn3x,4,7
276,56sk7jBpZV0CD31G9hEU3b,2,6
277,7tCHpjktA50ihtkLz6bAnn,2,2
278,57Xjny5yNzAcsxnusKmAfA,1,1
279,3U5JVgI2x4rDyHGObzJfNf,2,6
280,4w1lzcaoZ1IC2K5TwjalRP,2,6
281,4UuHWIkAWnN176A2rx7YFB,2,6
282,6ECp64rv50XVz93WvxXMGF,4,7
283,37qI0mchgzUSeUhPiwUWPY,2,6
284,4HlFJV71xXKIGcU3kRyttv,4,7
285,2DlHlPMa4M17kufBvI2lEN,4,7
286,4Sfa7hdVkqlM8UW5LsSY3F,2,6
287,6IwKcFdiRQZOWeYNhUiWIv,4,7
288,4E6cwWJWZw2zWf7VFbH7wf,4,7
289,4r8lRYnoOGdEi6YyI5OC1o,4,7
290,3FtYbEfBqAlGO46NUDQSAt,2,6
291,3xkxcbnc7G3XYuZt6eUnI5,0,5
292,67D9O4Oau629qirRXtTWCS,2,6
293,23L5CiUhw2jV1OIMwthR3S,4,7
294,4Ce37cRWvM1vIGGynKcs22,2,6
295,4fIWvT19w9PR0VVBuPYpWA,2,6
296,4NTWZqvfQTlOMitlVn6tew,2,9
297,3zSCNTXI7Ed0PiidZVmzIe,2,6
298,4uhvMW7ly7tJil31YYscAN,2,6
299,46NDPN81vk91tunB9uIrw4,2,2
300,7FDV5ELOJHCGLe52AnttEd,2,6
301,2CpH1L4CUR47RARB3PgY1l,2,9
302,0g5EKLgdKvNlln7TNqBByK,2,6
303,7IzurnmQLvZmMDJcpITUyt,2,9
304,4KW1lqgSr8TKrvBII0Brf8,2,2
305,5iUQMwxUPdJBFeGkePtM66,0,7
306,0v9Wz8o0BT8DU38R4ddjeH,4,7
307,5sqHFfmw7MMc1L85BN8802,0,5
308,2nBI3iWLhupR7LyAJ5GGkE,4,2
309,46IdjlVO3EmaMqooXZ1Hcu,0,5
310,0D21XvHcVsIvJM6FcGY2BT,0,5
311,3SrUV8pxnW1QhMbbwegpwG,4,7
312,4s2BWgnSQ9NZiOQM4PP4HB,0,5
313,7qT7NUDywO7vNJNTNxqWiN,0,5
314,2c8sgbZoEanC3QyFNZxUcA,4,7
315,1py4qzrEEkOvU8uTHYLuOW,0,5
316,52hRcWmjRNFuVJv3Qi7EeF,0,5
317,0uuE2usj5bvRqfKlfOu1NZ,2,6
318,5uDASfU19gDxSjW8cnCaBp,0,6
319,3vZM2544ETmOCCHuBPZRzm,4,7
320,7lQ8MOhq6IN2w8EYcFNSUk,2,6
321,4eZDxVUfm37N7ncCi0t94Y,2,6
322,7j56HrjR9cGzvekvZY3Faz,2,6
323,2HNnYRJIlsM1JHn1Nq8qU7,2,6
324,4IChWtexBegNreTAIEH1cK,4,7
325,6WhzFzROw3aq3rPWjgYlxr,0,5
326,5ArQzSBevAdXTxRY6Ulhbq,4,7
327,45zvStEMsXp8z45OQRhWFJ,2,9
328,429IbFR4yp2J81CeTwF5iY,2,9
329,3l9CW99AHtExIRV4hW2N5m,2,9
330,1gGsNNUfvVMOv4llVMg8Vg,4,7
331,6j0teRL3WdExzqmy334sh5,0,5
332,74hpFi8WyIwFIPBUv0idC3,2,6
333,1jcSttQBrx05TkPgnB9vZl,0,5
334,4YIoQqE50AdyG4BQafCi3u,2,6
335,278Ao6KQDxWGGszv24uvhI,2,9
336,6He0K0vTMdPdbweh18nnrB,2,9
337,6Lhdcv9bpTp72n0K7V0UJa,1,1
338,3iyivv3HxJ9TEO7BDXKYxp,4,7
339,1za5fakUqxQMpaFvBT8UuO,2,6
340,46jLy47W8rkf8rEX04gMKB,4,7
341,0lYBSQXN6rCTvUZvg9S0lU,2,6
342,2IO7yf562c1zLzpanal1DT,4,7
343,6Xs7OKt6i0Ddq8B4M5Dgvr,4,9
344,7BKLCZ1jbUBVqRi2FVlTVw,2,6
345,1XSvndyw6uqVW1ekRZsJUp,0,6
346,4h0zU3O9R5xzuTmNO7dNDU,5,0
347,3gsCAGsWr6pUm1Vy7CPPob,5,0
348,5mPSyjLatqB00IkPqRlbTE,5,0
349,4dASQiO1Eoo3RJvt74FtXB,0,2
350,7KyTq7H5f3Oavmuo9TX6QK,4,7
351,2vYzrIsIWHGtFyNf57PPN1,0,7
352,5354TkqoLgY6C6wnf7dLYK,2,6
353,4roDTLs05yU9RpSBqwfKQ3,2,2
354,0QGc6iFNgFB8qM4ffK04MO,0,5
355,2eUOoOf6q0e9FIK01SJMjT,4,7
356,3ji3RdsWWyuuZyehLmYj0b,0,5
357,1lX67wYMXcGcV0vgQTRi1z,4,7
358,4RqvCIjiRyPmD6iP2Fxaak,0,5
359,2YK6tjyM4cthovn1idrvhb,0,5
360,1TkWsnheqK0gBtvh07BtNX,0,5
361,7MkysLvt3L8UFji2PceoFU,2,6
362,6Rb0ptOEjBjPPQUlQtQGbL,2,6
363,6Bjtr3tPdto5nyuLYf61sN,4,7
364,3cqZH3cqvfbV8wVbvHyPbG,0,5
365,6fwdbPMwP1zVStm8FybmkO,0,5
366,5TlAXiBCBwiQnIZUAA4Jkg,0,5
367,4SMx7LkOPBlTC5UfJl3zSe,0,5
368,6R0GRYk2vs2XuBVemYK5YZ,0,5
369,5uywMR3hTeVPoWaFDSliJb,4,7
370,0AxdJGlXJjEUsNONDuT2pe,4,7
371,7ghmZhLpmQe9nTluI1czmr,4,7
372,6cREm4bV7V79Yxdilx9HDo,2,2
373,476j7IDRIDRvv1Xu71EVc8,5,0
374,79d719EfQQZ7D7nYdgPGEe,4,7
375,0i5spxZKedPA2TgGuvJ3AL,4,7
376,3fH4KjXFYMmljxrcGrbPj9,2,6
377,5iwyLsQ5yjnCaRrJGyAPZM,5,0
378,03KVfflesQChtbVZsPYefn,4,7
379,367hDgmAz3JQUmXD4ukZ0I,4,7
380,1La2U7H6tppgK8KK86sH59,2,6
381,5vBuxtwitUimHR2gBOnJYR,2,6
382,2IGr3q6ljcpLvHDFLtI0yW,2,6
383,2ANLarE8yHVsLWW21nj79M,0,5
384,0B8QzDH7YWih85V5SEMnyJ,4,7
385,6BC5qv70s01qQpFyKSsuLV,4,7
386,5yuShbu70mtHXY0yLzCQLQ,5,0
387,6RJEdfCBmwSxUdW3pfWmvt,5,8
388,0ee8dp1FYqhN4X7GB1FVH6,5,6
